id;best_1;avg_1;worst_1;best_2;avg_2;worst_2;best_3;avg_3;worst_3;best_4;avg_4;worst_4;best_5;avg_5;worst_5;best_6;avg_6;worst_6;best_7;avg_7;worst_7;best_8;avg_8;worst_8;best_9;avg_9;worst_9;best_10;avg_10;worst_10
0;152817,2216788998;171966,19545026775;193885,18500177597;145008,6099988038;170378,7674167481;195087,0910203515;146270,42635815448;170816,9244800426;191550,5671780001;149999,72127557252;171959,4118636267;197525,2842356518;149526,01106978022;170804,5893276404;196305,83593928724;143722,3573076892;171241,1058918831;193685,69741781874;147777,07621115385;170744,69671182192;196617,73224986249;147805,5985184711;170804,77215332023;199659,550096901;148399,12760729244;170625,5513465126;190268,08023758946;148540,71305459365;170777,95350086613;196814,51161294105
1;146358,10965788653;167558,8715707144;186640,18491288152;143646,07456051456;166631,06102613962;186110,84174299354;144704,84253357223;165615,4334384495;187678,7571638076;145275,8190085994;167766,46373042135;186097,42245790217;146266,79145737216;165968,88060087385;186119,85747378937;143086,8074682853;166008,59065105286;184667,7656044742;143112,76715746982;167101,8772496736;193495,84121097636;148294,18018067387;166976,61899694384;188001,59354717474;148423,9191883723;167152,35414653693;187103,7702158634;143267,9084628646;165897,51447302592;188056,9495809902
2;140027,5464749672;163542,1799147877;179440,5698302606;142668,27406136203;161523,4432775191;184243,98686736784;144496,32807206898;161085,17452242505;183549,54931475126;145275,8190085994;163547,24369117958;181173,58343542996;140756,6679737479;162479,662812345;186863,9991753541;141953,41996163368;161722,18100683077;182945,1765135926;143129,33961045573;162805,9429925218;181829,88690057906;145019,57258686234;162452,09661615975;182740,87343315358;145272,00326852352;163272,98615708333;192568,55411498586;141307,0309773106;161758,17522760725;182577,7366685654
3;136131,47228648828;159934,06229407128;177626,60659478998;137107,2854573007;157067,55166798396;178000,33668737827;142621,25398775062;157583,16870690128;177826,62317434876;139182,05816488757;159928,62423774574;188425,05109311757;140756,6679737479;159227,35466369663;178503,66018631315;137475,32622082575;157050,0215044312;176701,70140796364;139931,9502240271;157851,72895173662;174596,59791476448;140205,23795824224;158697,86894778005;177934,1511027133;142013,46926875977;161501,75773020243;182126,8767768662;141307,0309773106;158851,4030486278;174913,31748169966
4;133112,7126017548;155592,6340610989;177013,70856823685;132437,31529401324;152541,39771908236;178694,6471144771;140700,66275547838;155228,3775651306;175071,2056467966;135192,73071367218;157422,6763934689;181300,19352089544;138055,25070926466;156752,14885038204;176159,41078771497;134777,943631621;153241,7257260887;176591,1559347811;137321,77157543696;155406,52341318328;176284,93136263939;140205,23795824224;156886,11171796298;179437,1421147729;144618,86122870562;159137,57979042327;177026,85247183492;136982,90866575096;155401,8866454246;180228,84278808814
5;133112,7126017548;152387,87381392455;174475,47279342072;132437,31529401324;150725,91751237848;170966,45685905332;137792,51291717586;153161,10815022746;177631,8184750339;131663,99694571178;154947,00663224858;175435,30107616106;137982,7139113286;154391,8777907302;174740,0241994031;131666,96787266576;150736,05305315767;172319,65145917464;129213,02397276605;151833,61633794353;177606,04275288788;137026,47116225926;154458,0827953034;177011,15263983927;144618,86122870562;156145,23273441577;175743,73241619125;136982,90866575096;153076,04083349512;177197,7793566623
6;129222,79029113;149017,44985335434;170505,27497629757;130826,34053944596;148612,00871862858;173044,1780064458;135638,67253798377;151346,18945110575;171869,8912236541;131663,99694571178;152389,61277739907;175178,51278160588;136675,77402935643;151782,35581293842;173843,36041068818;130467,26487004534;149215,56112957984;171753,48578861484;129213,02397276605;150338,38012220213;175031,23502968633;137026,47116225926;153328,19919750313;172317,09916971304;136798,80598892228;154204,93268700896;173524,57817694722;136752,14485736255;152454,5063726523;174052,7740946924
7;129222,79029113;146315,50077473166;171932,01008230553;126651,33897021631;148198,121673197;169890,7821033476;135638,67253798377;149794,5947917581;170767,84440348312;130318,47779079714;149733,47661604977;171595,88834693987;134174,34041587193;150080,06305288651;181885,78929781826;130467,26487004534;147097,18573348026;181924,7066129678;129213,02397276605;148404,82674269646;167930,37228053898;133463,22742970363;151556,75205824088;175516,38308064736;136352,98907393916;153059,17266043474;170916,8981397207;133241,85751892166;150736,89269381046;169760,26873699838
8;125397,74233202892;145278,66829560863;167034,6018527356;126651,33897021631;146390,08921283783;170193,10044344692;132225,57211385548;148432,57324981733;165392,25654977604;124864,91608598227;147837,37985805093;166772,00099967606;129552,13406520952;148741,44277965045;172139,79060940602;129673,45077142301;145740,71922531718;167875,46316178;129109,19679828007;145901,7663185511;169528,98241765017;134049,7235386303;149630,06437527647;172390,72109881748;136352,98907393916;151960,14587794186;171937,24153534518;127047,56400237606;148144,66615838502;168039,7233962479
9;121031,17623252248;142838,1719287851;162728,5514189315;125014,29123038476;144847,6639181786;169122,89045477012;125425,54983451762;145456,51324951986;166251,25880210998;124864,91608598227;144901,7621131329;165839,90187913465;129325,25806140901;147285,76082285677;174983,13700359588;125304,75887402646;143349,7586448792;161183,91443392247;128151,95836484896;143898,20083300452;167449,07909854886;131759,41682157075;148076,1639445394;171487,5577449948;136353,91088643606;150069,7455721263;166715,57203832926;131382,61499609114;146326,38346875468;170587,9479624722
