id;best_1;avg_1;worst_1;best_2;avg_2;worst_2;best_3;avg_3;worst_3;best_4;avg_4;worst_4;best_5;avg_5;worst_5;best_6;avg_6;worst_6;best_7;avg_7;worst_7;best_8;avg_8;worst_8;best_9;avg_9;worst_9;best_10;avg_10;worst_10
0;307724,183133591;341135,11142197833;382043,89879626234;304705,36910677707;340614,7736996146;372036,3962352877;306435,8466943842;339721,17473671737;372744,4716796645;311132,26075100445;340690,3768024402;375134,26448754594;304110,2038491917;339841,6075552467;379817,04115377605;311891,18208229076;340331,1719854084;374285,96691805223;309092,12035228475;341656,7464958219;374981,91877948656;303827,6813110158;340109,8301170202;369348,8250333173;302611,59891313245;339425,0007068305;371645,1630010765;309905,7379784523;339747,4300297268;375828,3187502925
1;303770,62846755463;334886,7835958461;361597,15982122207;304705,36910677707;335065,49518662354;374511,5687317122;306088,1139571675;334912,0118745515;359762,98786385934;309542,33337762434;334397,837881183;359662,72610110027;301287,6924860327;333698,29168239445;361659,29196590843;311891,18208229076;334774,3967201671;365534,1262885907;305461,44752669573;336457,99861095136;361212,3441736879;303598,31542282354;335185,33890420827;369441,1476007732;302714,96123487566;333715,9371904072;366490,4088655663;306844,4257480398;332825,3955050248;368591,8979108642
2;297863,64351264905;330398,7403516766;357184,53143637726;304705,36910677707;330371,93466824875;357069,11767844623;296002,5622242648;331503,85562937893;355434,82939636573;310202,1581941129;329603,51869205857;360802,1377427476;302438,9763019847;328973,5193354232;365284,986015384;308254,09623400896;329696,88423866394;357475,2437038341;305461,44752669573;331371,943400481;358352,65247245994;299292,2030179313;329472,4989974528;356382,61657997075;304808,9579849269;330260,7477034935;356206,32234973536;300283,2625547745;327483,5685795491;362778,0487690681
3;301852,5075905435;326605,7315779797;356401,07722624484;304413,8557636348;326945,3619378804;353651,3796943047;295962,3723449465;328036,676551989;348988,86143435974;303901,8454419739;326185,06573840993;354370,55797149695;296918,21953844326;324069,2242557962;350718,3702776899;296031,993049407;325717,66477985575;358372,0023635811;296212,1862054461;327460,2456791941;359373,77033515024;299292,2030179313;325563,7426504317;356006,11907889246;304808,9579849269;326202,38584529393;352772,16036067595;292514,3535894997;324032,17639477906;354741,18920784246
4;292851,7377904271;322630,2473354498;347581,2242958857;304372,8244879023;323140,22043692746;352519,5252747607;295962,3723449465;324747,5712060272;349097,41348160943;302458,79404013755;323790,12743448844;351534,72224647587;297796,42202645604;319709,5889107841;347341,8144408717;301141,17087879695;322028,0073760444;348458,8185868325;296212,1862054461;323691,1473725677;353925,8024627779;298574,5265092896;321505,5951503643;349778,8441079901;297946,02340403706;323271,5539031098;357083,3792507363;292514,3535894997;319935,83813101455;357423,14370058937
5;292851,7377904271;320184,9192324276;347003,0396562735;282342,8521512487;319492,31112033763;345381,6922873399;293200,2172050113;322123,72400281654;353504,901664935;290932,9021157785;320035,9160224091;345150,96218716085;295808,98613248643;316236,06430511625;344185,20939601556;301236,06819824706;318689,3413413334;345418,4484049006;296044,75728161045;320227,5119617007;351653,54018591286;291391,4456918865;318904,5093155916;355794,5054310168;297946,02340403706;321523,0461474642;354583,7989535516;292083,8219268955;316801,440725136;346820,49858767685
6;292851,7377904271;316604,1992007882;343537,11885139684;282342,8521512487;317518,31075338915;343536,13785051764;293200,2172050113;318654,3539940496;354223,0181566745;297588,916373963;317338,8353349464;337055,7178166379;294438,67199702654;314400,7283387637;343726,796182842;298855,45002405066;316413,3120998898;341513,23186579894;296044,75728161045;317069,28712080367;339266,64948500437;289685,75413252565;315517,38734761573;341224,7933272053;297284,76954672084;319587,20534535055;349975,5444353782;284066,0741151303;312451,8865686579;341632,195678396
7;291986,1616358343;313190,1922666633;338975,44433900784;292316,106826528;314571,91276156984;342300,45397358504;287418,5845584671;315830,83079669473;344122,9912242544;288865,6746036059;316059,56013830757;339703,48853545194;292945,1089577369;312379,14741871296;339419,0618100317;293395,405073775;314888,76742838096;343269,99867865106;295023,11345067597;315068,4144821338;346398,1170649518;289552,56264641264;312489,98976959125;343348,31231201725;286825,36329163326;318409,58431272826;353219,5040273119;281735,2033148474;308729,6717460864;337830,96751402225
8;289190,09572540276;311038,12557111005;348015,98151177465;285260,5444791811;312216,91740950546;339002,31356172456;287957,0533258752;312298,5669053324;344444,0437220806;288865,6746036059;314618,842438679;339548,58939001086;294438,67199702654;309579,7964337597;341031,6470134425;296946,2612179728;311885,6837970865;337100,2549365713;292822,25657789403;311557,07337592007;342471,6057791564;280986,63007129676;310001,11281829805;336686,83186096966;292756,7549816924;315150,2121231915;342417,92545437807;282732,6611449219;305685,71313404664;335065,99193499226
9;287121,07544959075;307397,5237858405;339654,74262488;285260,5444791811;310709,86366974394;337656,94768336095;288266,8345734998;309319,77086399624;343717,3231908747;292187,7204275824;313277,25452386116;343352,38243611046;282175,0916061932;308096,89367210167;331721,31894126645;290197,9443276441;310009,92853093334;342422,8532473292;282994,2932794364;308551,1247153284;338503,534396581;276723,7437126706;307919,429257933;339166,9432515865;291926,8126835468;313073,3643684068;344417,5425707792;282732,6611449219;303126,66549374483;330300,68318473
10;270183,31881832384;303583,654447321;338793,434016844;287553,0953391031;309220,78465854493;332404,8979229869;282096,9245145068;306434,10961686604;336673,6267931116;289618,5920822984;311406,71768359013;341141,82067058026;284525,2356708178;306004,72547370405;337806,6682864627;278600,85613677715;307907,28957875766;337479,82019094686;282922,24000682525;305512,406749754;336034,38047289586;276723,7437126706;306497,3989919254;331916,56197975535;291926,8126835468;310164,10511148366;332886,11694963294;281881,3486281057;300330,69307071023;331019,89036866644
11;270183,31881832384;302092,478903684;331581,2248080333;285877,34153305803;307519,22202161094;333793,4870012025;277999,6494027238;303731,66580803576;330538,8204317476;288993,23174808914;309385,08373773005;350789,44173298846;282922,3636903338;304095,5644072392;327330,46287650755;284653,0638212713;305769,0885309522;335164,207933332;274166,43733680045;303410,65776082774;330903,31015409675;276723,7437126706;304675,9952143836;339146,57723548793;289318,5774509577;307979,0650271044;332751,79400977923;277136,60574810085;297869,19411091704;322842,5516276589
12;281939,1944030008;300126,0481396151;333138,2291451105;286817,12709961913;305993,36870789574;334223,75277338986;277999,6494027238;302119,9443149921;329761,0639841045;288993,23174808914;307002,84247656283;329844,0522926988;280110,9469333722;302266,67877398647;336580,9025984612;283228,26296242257;304200,08932544995;334244,4892048557;281340,7916285348;301249,0244400392;329998,30615880206;271268,95171515446;302497,68845934706;334820,8649383465;289137,77204502816;305911,1698024524;336982,1397400575;266528,65516241855;295722,29693560523;325644,5791816978
13;268973,6696565686;299509,54414104624;324147,8669272433;281117,1990239577;304717,48371062655;334126,26447345584;274897,8206853854;299921,07406064833;330937,9608524594;287667,5914599463;305435,93226695224;335253,0720556111;280110,9469333722;300245,5793064134;325229,347536328;278000,9964516402;302556,6894253778;331996,39697955945;278569,3237583594;299691,82961721;326529,6442073969;271268,95171515446;300929,60152201814;328025,4819072862;285422,9414904082;304546,1537622318;335399,9088427316;266528,65516241855;293900,5705502756;322058,6301360573
